timestamp,ch1,ch2,label
1789465996.1175501,2113,2879,ɔ
1789465996.12059,2071,2878,ɔ
1789465996.1210828,2052,2877,ɔ
1789465996.121451,2068,2877,ɔ
1789465996.124187,2108,2878,ɔ
1789465996.125481,2027,2876,ɔ
1789465996.127928,2020,2877,ɔ
1789465996.12923,2072,2876,ɔ
1789465996.131582,2109,2877,ɔ
1789465996.1330292,2105,2878,ɔ
1789465996.1354518,2045,2877,ɔ
1789465996.136814,2052,2877,ɔ
1789465996.138877,2079,2877,ɔ
1789465996.1412852,2057,2878,ɔ
1789465996.1435971,2015,2877,ɔ
1789465996.1448379,2074,2877,ɔ
1789465996.147137,2087,2877,ɔ
1789465996.1496582,2100,2878,ɔ
1789465996.1511118,2072,2877,ɔ
1789465996.1536949,2074,2877,ɔ
1789465996.154985,2103,2876,ɔ
1789465996.15914,2094,2878,ɔ
1789465996.1596868,2021,2876,ɔ
1789465996.161702,2056,2875,ɔ
1789465996.162945,2132,2877,ɔ
1789465996.166368,2138,2878,ɔ
1789465996.168603,2097,2878,ɔ
1789465996.169661,2002,2876,ɔ
1789465996.171977,2022,2876,ɔ
1789465996.1731021,2071,2878,ɔ
1789465996.175644,2039,2875,ɔ
1789465996.176939,2042,2877,ɔ
1789465996.1919339,2130,2876,ɔ
1789465996.210639,2111,2878,ɔ
1789465996.2111099,2101,2878,ɔ
1789465996.211145,2091,2877,ɔ
1789465996.211173,2112,2877,ɔ
1789465996.2112,2128,2876,ɔ
1789465996.211227,2030,2874,ɔ
1789465996.211253,2002,2877,ɔ
1789465996.211278,2055,2878,ɔ
1789465996.211304,2105,2875,ɔ
1789465996.21133,2110,2878,ɔ
1789465996.2113569,2073,2877,ɔ
1789465996.211382,2053,2876,ɔ
1789465996.211408,2119,2878,ɔ
1789465996.211433,2095,2879,ɔ
1789465996.211458,2033,2878,ɔ
1789465996.2114828,2082,2876,ɔ
1789465996.2128918,2124,2876,ɔ
1789465996.215596,2097,2879,ɔ
1789465996.217109,2046,2877,ɔ
1789465996.219363,2025,2877,ɔ
1789465996.220843,2062,2877,ɔ
