timestamp,ch1,ch2,label
1789463766.7286851,2073,2875,i
1789463766.731232,2105,2877,i
1789463766.73137,2104,2876,i
1789463766.733446,2090,2876,i
1789463766.736564,2066,2876,i
1789463766.73773,2064,2877,i
1789463766.740067,2088,2874,i
1789463766.7412539,2093,2875,i
1789463766.743572,2086,2876,i
1789463766.745877,2097,2877,i
1789463766.748306,2098,2876,i
1789463766.749592,2084,2876,i
1789463766.752131,2056,2875,i
1789463766.7534149,2048,2876,i
1789463766.755954,2087,2877,i
1789463766.7583418,2075,2875,i
1789463766.759626,2081,2875,i
1789463766.762165,2075,2878,i
1789463766.763307,2070,2876,i
1789463766.7656069,2078,2875,i
1789463766.768149,2070,2874,i
1789463766.769192,2052,2876,i
1789463766.771727,2068,2877,i
1789463766.774019,2071,2874,i
1789463766.7763252,2075,2875,i
1789463766.777607,2063,2875,i
1789463766.782361,2089,2876,i
1789463766.78318,2109,2875,i
1789463766.7839282,2089,2874,i
1789463766.7862349,2051,2876,i
1789463766.788022,2057,2876,i
1789463766.789732,2090,2874,i
1789463766.7914932,2084,2876,i
1789463766.7940521,2057,2874,i
1789463766.79535,2086,2877,i
1789463766.7979,2116,2876,i
1789463766.799189,2083,2875,i
1789463766.801555,2058,2874,i
1789463766.803688,2072,2876,i
1789463766.806188,2098,2877,i
1789463766.807476,2099,2875,i
1789463766.809866,2093,2875,i
1789463766.811151,2087,2877,i
1789463766.813709,2098,2876,i
1789463766.8157818,2090,2875,i
1789463766.818109,2085,2875,i
1789463766.819156,2048,2875,i
1789463766.821214,2073,2877,i
1789463766.823766,2071,2874,i
1789463766.825108,2092,2874,i
1789463766.827651,2065,2875,i
1789463766.829932,2091,2877,i
1789463766.8341818,2118,2875,i
1789463766.8345962,2073,2875,i
1789463766.836509,2056,2874,i
1789463766.838378,2068,2875,i
1789463766.83977,2071,2874,i
1789463766.8413079,2086,2875,i
1789463766.843682,2070,2875,i
1789463766.846257,2079,2878,i
1789463766.8475552,2087,2876,i
1789463766.850106,2075,2875,i
1789463766.8514009,2050,2875,i
1789463766.853947,2061,2876,i
1789463766.855232,2074,2874,i
1789463766.8577769,2083,2876,i
1789463766.859088,2058,2875,i
1789463766.8616478,2051,2873,i
1789463766.8641899,2092,2876,i
1789463766.8654752,2076,2874,i
1789463766.868012,2055,2874,i
1789463766.8692942,2046,2875,i
1789463766.871606,2073,2877,i
1789463766.8741481,2096,2874,i
1789463766.87519,2097,2875,i
1789463766.8774881,2069,2875,i
1789463766.8800251,2086,2876,i
1789463766.88131,2098,2876,i
1789463766.886951,2073,2874,i
1789463766.887352,2070,2874,i
1789463766.8880908,2056,2876,i
1789463766.890794,2076,2873,i
1789463766.892096,2083,2875,i
1789463766.893657,2061,2875,i
1789463766.8960378,2099,2876,i
1789463766.8973272,2090,2876,i
1789463766.899633,2068,2875,i
1789463766.901937,2069,2874,i
1789463766.9030058,2057,2876,i
1789463766.905069,2074,2874,i
1789463766.9073632,2090,2875,i
1789463766.9096751,2075,2875,i
1789463766.9120488,2054,2874,i
1789463766.913337,2101,2876,i
1789463766.915638,2095,2875,i
1789463766.916975,2075,2876,i
1789463766.9193,2068,2874,i
1789463766.921839,2072,2877,i
1789463766.923122,2081,2875,i
1789463766.925657,2075,2875,i
1789463766.9270542,2054,2875,i
1789463766.9293451,2073,2877,i
1789463766.931883,2082,2875,i
1789463766.932971,2064,2875,i
1789463766.935507,2042,2875,i
1789463766.9402418,2039,2874,i
1789463766.940673,2081,2875,i
1789463766.9425159,2086,2876,i
1789463766.94402,2064,2875,i
1789463766.945345,2097,2877,i
1789463766.949131,2110,2876,i
1789463766.949211,2098,2874,i
1789463766.951516,2067,2875,i
1789463766.9540741,2047,2875,i
1789463766.955358,2089,2876,i
1789463766.9576478,2076,2875,i
1789463766.9599528,2059,2876,i
1789463766.9610019,2071,2876,i
1789463766.963052,2105,2876,i
1789463766.96559,2090,2875,i
1789463766.9669602,2063,2875,i
1789463766.969515,2037,2875,i
