timestamp,sensor_value,label
1772099256.244214,800,a
1772099256.244289,50,a
1772099256.244323,559,a
1772099256.244353,738,a
1772099256.244381,120,a
1772099256.2444632,466,a
1772099256.244494,653,a
1772099256.244522,189,a
1772099256.244548,310,a
1772099256.244574,572,a
1772099256.244601,301,a
1772099256.244627,155,a
1772099256.244653,499,a
1772099256.244703,388,a
1772099256.244722,0,a
1772099256.244748,463,a
1772099256.2541142,430,a
1772099256.264987,11,a
1772099256.2761102,420,a
1772099256.287103,520,a
1772099256.2981172,125,a
1772099256.3091211,339,a
1772099256.320097,622,a
1772099256.331166,242,a
1772099256.342125,319,a
1772099256.353377,709,a
1772099256.36727,406,a
1772099256.376556,275,a
1772099256.38627,841,a
1772099256.397103,553,a
1772099256.4080992,233,a
1772099256.419105,917,a
1772099256.430112,703,a
1772099256.44113,160,a
1772099256.4521012,962,a
1772099256.463182,817,a
1772099256.4740071,83,a
1772099256.485106,948,a
1772099256.496098,851,a
1772099256.507008,23,a
1772099256.5181,841,a
1772099256.529098,832,a
1772099256.539874,0,a
1772099256.5510988,745,a
1772099256.562114,795,a
1772099256.572858,0,a
1772099256.584121,647,a
1772099256.595212,781,a
1772099256.6059892,35,a
1772099256.61714,540,a
1772099256.6281102,746,a
1772099256.639387,133,a
1772099256.649997,428,a
1772099256.6609821,670,a
1772099256.671992,235,a
1772099256.683177,289,a
1772099256.693994,588,a
1772099256.705031,350,a
1772099256.716036,107,a
1772099256.727017,527,a
1772099256.7379992,437,a
1772099256.7488909,0,a
1772099256.759984,486,a
1772099256.771009,525,a
1772099256.782012,50,a
1772099256.793,445,a
1772099256.803992,604,a
1772099256.815059,221,a
1772099256.826012,373,a
1772099256.836982,695,a
1772099256.8479848,365,a
1772099256.8594089,355,a
1772099256.8726962,804,a
1772099256.8809888,509,a
1772099256.891979,261,a
1772099256.902982,955,a
1772099256.9139872,691,a
1772099256.925002,223,a
1772099256.93614,1111,a
1772099256.947416,876,a
1772099256.957978,105,a
1772099256.969111,1110,a
1772099256.9800162,983,a
1772099256.990866,29,a
1772099257.002132,1053,a
1772099257.013023,984,a
1772099257.023731,0,a
1772099257.034985,948,a
1772099257.045988,953,a
1772099257.0568519,15,a
1772099257.0679958,789,a
1772099257.078971,934,a
1772099257.089876,53,a
1772099257.10098,673,a
1772099257.112061,891,a
1772099257.122995,142,a
1772099257.133981,544,a
1772099257.145015,809,a
1772099257.155981,238,a
1772099257.1670122,388,a
1772099257.178016,711,a
1772099257.188853,348,a
1772099257.199863,221,a
1772099257.210901,633,a
1772099257.2218602,438,a
1772099257.2328901,54,a
1772099257.243896,554,a
1772099257.254859,523,a
1772099257.2657568,9,a
1772099257.276878,499,a
1772099257.2882812,592,a
1772099257.298871,135,a
1772099257.3098829,445,a
1772099257.321017,636,a
1772099257.331871,283,a
1772099257.3428748,383,a
1772099257.353869,784,a
1772099257.364916,458,a
1772099257.375872,342,a
1772099257.3868911,906,a
1772099257.397904,619,a
1772099257.4090528,253,a
1772099257.4200242,1020,a
1772099257.4308639,765,a
1772099257.4418712,205,a
1772099257.4530072,1087,a
1772099257.463864,898,a
1772099257.474884,114,a
1772099257.485993,1111,a
1772099257.4968681,993,a
1772099257.508394,38,a
1772099257.519,1043,a
1772099257.52988,990,a
1772099257.5407841,0,a
1772099257.551929,899,a
1772099257.562886,964,a
1772099257.573746,11,a
1772099257.5848691,815,a
1772099257.5958772,939,a
1772099257.60672,82,a
1772099257.6178691,672,a
1772099257.628871,866,a
1772099257.63989,163,a
1772099257.6509,532,a
1772099257.6618931,787,a
1772099257.672899,281,a
1772099257.683893,387,a
1772099257.694874,689,a
1772099257.705886,352,a
1772099257.716894,219,a
1772099257.728247,613,a
1772099257.7388852,452,a
1772099257.7497332,26,a
1772099257.760936,530,a
1772099257.771889,539,a
1772099257.78277,14,a
1772099257.793887,482,a
1772099257.804746,594,a
1772099257.815785,128,a
1772099257.826779,439,a
1772099257.837729,674,a
1772099257.8487449,295,a
1772099257.859775,358,a
1772099257.870771,785,a
1772099257.881751,463,a
1772099257.8927732,317,a
1772099257.903765,899,a
1772099257.914774,624,a
1772099257.925764,271,a
1772099257.936906,1015,a
1772099257.948201,762,a
1772099257.958764,169,a
1772099257.969867,1068,a
1772099257.980802,915,a
1772099257.9917681,101,a
1772099258.0028958,1116,a
1772099258.0138938,1028,a
1772099258.024645,20,a
1772099258.0359108,1006,a
1772099258.0467682,973,a
1772099258.057631,0,a
1772099258.068744,872,a
1772099258.079766,954,a
1772099258.09065,17,a
1772099258.1017401,759,a
1772099258.112771,915,a
1772099258.12363,87,a
1772099258.13485,665,a
1772099258.14577,884,a
1772099258.1567612,183,a
1772099258.168246,530,a
1772099258.1788108,817,a
1772099258.189738,269,a
1772099258.200771,371,a
1772099258.2117682,661,a
1772099258.222774,357,a
1772099258.2337651,194,a
1772099258.2447748,606,a
1772099258.255776,486,a
1772099258.266649,30,a
1772099258.277759,572,a
1772099258.2887712,514,a
1772099258.299649,54,a
1772099258.310774,438,a
1772099258.32177,607,a
1772099258.332772,118,a
1772099258.343746,462,a
1772099258.354774,628,a
1772099258.365819,275,a
1772099258.376771,348,a
1772099258.388227,774,a
1772099258.398771,450,a
1772099258.4097831,293,a
1772099258.420754,905,a
1772099258.4317598,589,a
1772099258.442775,265,a
1772099258.4537659,991,a
1772099258.464772,746,a
1772099258.475772,233,a
1772099258.486776,1048,a
1772099258.497747,893,a
1772099258.508657,93,a
1772099258.519778,1129,a
1772099258.530775,967,a
1772099258.5416121,45,a
1772099258.552734,1014,a
1772099258.563744,988,a
1772099258.574518,8,a
1772099258.585783,884,a
1772099258.5966551,960,a
1772099258.608286,22,a
1772099258.618654,737,a
1772099258.629618,856,a
1772099258.6406422,57,a
1772099258.651653,652,a
1772099258.6626549,860,a
1772099258.6737459,192,a
1772099258.684777,554,a
1772099258.695777,781,a
1772099258.70677,242,a
1772099258.717775,385,a
1772099258.72875,685,a
1772099258.7397718,345,a
1772099258.7506618,229,a
1772099258.761673,610,a
1772099258.772649,438,a
1772099258.783668,50,a
1772099258.794656,527,a
1772099258.805651,500,a
1772099258.816651,12,a
1772099258.828358,491,a
1772099258.838651,577,a
1772099258.8496351,128,a
1772099258.8606331,438,a
1772099258.871647,660,a
1772099258.882653,266,a
1772099258.893628,402,a
1772099258.9046478,740,a
1772099258.915613,443,a
1772099258.926616,359,a
1772099258.9376068,868,a
1772099258.948756,590,a
1772099258.959626,290,a
1772099258.970616,989,a
1772099258.98166,729,a
1772099258.99262,219,a
1772099259.003778,1091,a
1772099259.0146291,877,a
1772099259.0256279,140,a
1772099259.036743,1106,a
1772099259.048654,980,a
1772099259.058644,52,a
1772099259.0697532,1081,a
1772099259.080757,1002,a
1772099259.091661,11,a
1772099259.102644,927,a
1772099259.113653,966,a
1772099259.124647,12,a
1772099259.135662,806,a
1772099259.1466591,943,a
1772099259.157653,44,a
1772099259.1686661,718,a
1772099259.179661,889,a
1772099259.190659,107,a
1772099259.201658,574,a
1772099259.212659,868,a
1772099259.223659,233,a
1772099259.234636,438,a
1772099259.2456572,725,a
1772099259.256657,333,a
1772099259.268588,278,a
1772099259.278656,625,a
1772099259.289666,423,a
1772099259.3006551,102,a
1772099259.311626,553,a
1772099259.32262,492,a
1772099259.333535,3,a
1772099259.344657,516,a
1772099259.355656,573,a
1772099259.366527,98,a
1772099259.377665,452,a
1772099259.38865,674,a
1772099259.399649,240,a
1772099259.410628,393,a
1772099259.4216352,745,a
1772099259.432682,398,a
1772099259.443655,336,a
1772099259.4545028,876,a
1772099259.513681,599,a
1772099259.513741,265,a
1772099259.513769,981,a
1772099259.5137951,754,a
1772099259.51382,225,a
1772099259.5418618,1076,a
1772099259.541915,891,a
1772099259.546767,96,a
1772099259.868917,1097,a
1772099259.869014,1013,a
1772099259.873121,55,a
1772099259.873201,1040,a
1772099259.873249,971,a
1772099259.873282,0,a
1772099259.873327,920,a
1772099259.873371,973,a
1772099259.873402,3,a
1772099259.873445,794,a
1772099259.873489,918,a
1772099259.873526,55,a
