timestamp,sensor_value,label
1772099680.442048,802,a
1772099680.4697752,147,a
1772099680.469843,927,a
1772099680.4698792,859,a
1772099680.46997,80,a
1772099680.470002,851,a
1772099680.47003,849,a
1772099680.470058,26,a
1772099680.4700851,766,a
1772099680.470112,827,a
1772099680.470131,0,a
1772099680.4701571,678,a
1772099680.470678,817,a
1772099680.470753,11,a
1772099680.470907,562,a
1772099680.476057,796,a
1772099680.487605,91,a
1772099680.498056,476,a
1772099680.5090601,695,a
1772099680.520042,176,a
1772099680.531039,331,a
1772099680.542046,619,a
1772099680.553044,282,a
1772099680.5640562,171,a
1772099680.5752718,545,a
1772099680.58848,352,a
1772099680.5979788,18,a
1772099680.608033,510,a
1772099680.6190531,431,a
1772099680.62993,22,a
1772099680.641036,473,a
1772099680.6520488,521,a
1772099680.663119,143,a
1772099680.674117,423,a
1772099680.685046,628,a
1772099680.696047,299,a
1772099680.707038,392,a
1772099680.718144,757,a
1772099680.7290611,480,a
1772099680.739927,308,a
1772099680.750931,913,a
1772099680.7621171,674,a
1772099680.773102,298,a
1772099680.7840471,1017,a
1772099680.7950778,831,a
1772099680.805936,178,a
1772099680.817045,1081,a
1772099680.8279839,936,a
1772099680.838924,116,a
1772099680.850035,1016,a
1772099680.860969,939,a
1772099680.871796,44,a
1772099680.882978,918,a
1772099680.8939378,917,a
1772099680.904808,5,a
1772099680.917536,813,a
1772099680.926919,893,a
1772099680.937793,1,a
1772099680.9490821,687,a
1772099680.959917,846,a
1772099680.970818,65,a
1772099680.981929,573,a
1772099680.992915,781,a
1772099681.003925,166,a
1772099681.0149262,412,a
1772099681.0259252,681,a
1772099681.036949,267,a
1772099681.0479538,252,a
1772099681.058933,584,a
1772099681.069921,357,a
1772099681.085438,59,a
1772099681.1034062,563,a
1772099681.1036,419,a
1772099681.113997,2,a
1772099681.125675,513,a
1772099681.136009,492,a
1772099681.146819,98,a
1772099681.157818,463,a
1772099681.169466,605,a
1772099681.179809,237,a
1772099681.1908128,410,a
1772099681.201803,746,a
1772099681.2127979,434,a
1772099681.2237928,344,a
1772099681.2347991,900,a
1772099681.245802,612,a
1772099681.256802,292,a
1772099681.2679648,1046,a
1772099681.2787971,786,a
1772099681.289804,223,a
1772099681.30093,1086,a
1772099681.3118021,914,a
1772099681.32279,135,a
1772099681.3339179,1079,a
1772099681.344806,936,a
1772099681.3556962,62,a
1772099681.366878,968,a
1772099681.377791,936,a
1772099681.388559,8,a
1772099681.399797,907,a
1772099681.410809,967,a
1772099681.421664,12,a
1772099681.4327931,776,a
1772099681.4437828,935,a
1772099681.454665,66,a
1772099681.465792,637,a
1772099681.476802,913,a
1772099681.487799,164,a
1772099681.498791,481,a
1772099681.509799,760,a
1772099681.520802,302,a
1772099681.531861,318,a
1772099681.542808,711,a
1772099681.5537002,479,a
1772099681.5647051,78,a
1772099681.575697,634,a
1772099681.586689,560,a
1772099681.597682,13,a
1772099681.610143,581,a
1772099681.6197062,635,a
1772099681.630674,127,a
1772099681.641661,540,a
1772099681.652711,735,a
