timestamp,sensor_value,label
1772099321.681823,1108,a
1772099321.7112,1085,a
1772099321.711262,0,a
1772099321.7112901,955,a
1772099321.711319,1042,a
1772099321.71134,15,a
1772099321.711364,838,a
1772099321.711387,995,a
1772099321.7114098,125,a
1772099321.711432,642,a
1772099321.711454,865,a
1772099321.7114758,262,a
1772099321.711498,485,a
1772099321.71152,790,a
1772099321.7115421,347,a
1772099321.716253,251,a
1772099321.7266712,678,a
1772099321.7396858,481,a
1772099321.751134,52,a
1772099321.7596748,648,a
1772099321.7706811,563,a
1772099321.7836952,9,a
1772099321.792612,585,a
1772099321.8035572,699,a
1772099321.818582,175,a
1772099321.82586,535,a
1772099321.837829,829,a
1772099321.8490372,356,a
1772099321.858621,465,a
1772099321.8695822,989,a
1772099321.8806982,616,a
1772099321.891584,393,a
1772099321.902694,1174,a
1772099321.914452,831,a
1772099321.924549,317,a
1772099321.935709,1287,a
1772099321.9480069,1020,a
1772099321.957561,204,a
1772099321.968686,1357,a
1772099321.979682,1118,a
1772099321.990556,145,a
1772099322.0016918,1248,a
1772099322.013047,1124,a
1772099322.0234282,47,a
1772099322.0345669,1108,a
1772099322.045581,1090,a
1772099322.0563068,0,a
1772099322.067563,959,a
1772099322.0785658,1075,a
1772099322.089534,12,a
1772099322.1006348,814,a
1772099322.111454,998,a
1772099322.122464,138,a
1772099322.133464,647,a
1772099322.144438,874,a
1772099322.1557472,268,a
1772099322.1664891,453,a
1772099322.177452,783,a
1772099322.1885052,401,a
1772099322.199431,233,a
1772099322.21047,665,a
1772099322.221419,510,a
1772099322.233258,37,a
1772099322.243453,632,a
1772099322.254425,603,a
1772099322.265314,10,a
1772099322.2764668,584,a
1772099322.287421,717,a
1772099322.298442,201,a
1772099322.309435,525,a
1772099322.320443,847,a
1772099322.362562,393,a
1772099322.365085,466,a
1772099322.365149,1031,a
1772099322.365186,645,a
1772099322.375797,381,a
1772099322.386443,1208,a
1772099322.3973749,861,a
1772099322.40831,304,a
1772099322.419457,1294,a
1772099322.43045,1036,a
1772099322.441341,193,a
1772099322.453378,1335,a
1772099322.463416,1109,a
1772099322.474366,128,a
1772099322.485426,1218,a
1772099322.496413,1109,a
1772099322.507304,44,a
1772099322.51844,1097,a
1772099322.529441,1077,a
1772099322.5402088,0,a
1772099322.551336,941,a
1772099322.562421,1046,a
1772099322.573812,37,a
1772099322.5843132,800,a
1772099322.595315,999,a
1772099322.60641,158,a
1772099322.6173,631,a
1772099322.628331,864,a
1772099322.639342,288,a
1772099322.6502779,440,a
1772099322.661209,756,a
1772099322.673308,418,a
1772099322.68322,198,a
1772099322.694792,629,a
1772099322.705173,509,a
1772099322.716186,22,a
1772099322.727189,621,a
1772099322.738181,629,a
1772099322.749104,69,a
1772099322.760177,562,a
1772099322.771174,759,a
1772099322.782194,218,a
1772099322.793752,507,a
1772099322.804182,873,a
1772099322.8151948,441,a
1772099322.8261929,446,a
1772099322.8373098,1056,a
1772099322.848186,666,a
1772099322.859186,379,a
1772099322.870192,1254,a
1772099322.881187,883,a
1772099322.893229,297,a
1772099322.90321,1350,a
1772099322.91422,1094,a
1772099322.925076,176,a
1772099322.9361951,1357,a
1772099322.94718,1159,a
1772099322.958076,104,a
1772099322.969182,1227,a
1772099322.980184,1154,a
1772099322.9910421,35,a
1772099323.002183,1072,a
1772099323.013773,1124,a
1772099323.023937,0,a
1772099323.035079,934,a
1772099323.046189,1081,a
1772099323.0569558,86,a
1772099323.068087,795,a
1772099323.0792162,1017,a
1772099323.090067,208,a
1772099323.101085,585,a
1772099323.112085,839,a
1772099323.1230662,344,a
1772099323.1340601,378,a
1772099323.1450791,767,a
1772099323.156062,484,a
1772099323.1670442,148,a
1772099323.1780858,683,a
1772099323.189045,577,a
1772099323.199827,0,a
1772099323.2110689,637,a
1772099323.222054,674,a
1772099323.233058,106,a
1772099323.243961,582,a
1772099323.2549272,818,a
1772099323.265996,294,a
1772099323.2769501,508,a
1772099323.2879272,961,a
1772099323.298934,521,a
1772099323.3099399,443,a
1772099323.321045,1157,a
1772099323.331952,766,a
1772099323.342967,382,a
1772099323.35407,1418,a
1772099323.365081,1122,a
1772099323.375943,272,a
1772099323.38706,1478,a
1772099323.398088,1262,a
1772099323.4088142,95,a
1772099323.420057,1448,a
1772099323.431089,1288,a
1772099323.44182,91,a
1772099323.4537332,1336,a
1772099323.464084,1206,a
1772099323.474709,0,a
1772099323.4859781,1177,a
1772099323.49699,1294,a
1772099323.507839,92,a
1772099323.518969,967,a
1772099323.5300102,1106,a
1772099323.54097,194,a
1772099323.551929,719,a
1772099323.56303,1044,a
1772099323.573955,376,a
1772099323.5848188,571,a
1772099323.595808,849,a
1772099323.6068401,448,a
1772099323.617823,380,a
1772099323.628855,843,a
1772099323.639841,645,a
1772099323.6508448,132,a
1772099323.661841,764,a
1772099323.672909,702,a
1772099323.683718,3,a
1772099323.694813,646,a
1772099323.705832,781,a
1772099323.7168372,248,a
1772099323.727839,559,a
1772099323.738834,960,a
1772099323.749838,431,a
1772099323.760849,542,a
1772099323.7728581,1102,a
1772099323.7828429,703,a
1772099323.79387,389,a
1772099323.80481,1254,a
1772099323.819718,887,a
1772099323.826823,380,a
1772099323.8378382,1517,a
1772099323.848842,1125,a
1772099323.859841,192,a
1772099323.8708448,1508,a
1772099323.881866,1301,a
1772099323.8937159,106,a
