timestamp,sensor_value,label
1772098135.0623019,8,a
1772098135.091587,431,a
1772098135.091715,20,a
1772098135.091841,365,a
1772098135.091879,442,a
1772098135.0919008,56,a
1772098135.091986,346,a
1772098135.09201,408,a
1772098135.09203,68,a
1772098135.092052,293,a
1772098135.092073,400,a
1772098135.092125,129,a
1772098135.09215,247,a
1772098135.092185,370,a
1772098135.0922081,179,a
1772098135.092372,127,a
1772098135.092418,306,a
1772098135.0924459,161,a
1772098135.092468,46,a
1772098135.092503,285,a
1772098135.0925272,196,a
1772098135.092545,20,a
1772098135.092567,271,a
1772098135.092588,262,a
1772098135.092603,0,a
1772098135.092627,185,a
1772098135.0926762,267,a
1772098135.092701,20,a
1772098135.092725,160,a
1772098135.092748,277,a
1772098135.092767,65,a
1772098135.092788,104,a
1772098135.0928571,266,a
1772098135.092881,137,a
1772098135.092899,98,a
1772098135.0929558,352,a
1772098135.0929852,238,a
1772098135.093004,8,a
1772098135.093027,385,a
1772098135.0930848,286,a
1772098135.0931041,0,a
1772098135.093128,358,a
1772098135.09315,282,a
1772098135.093194,0,a
1772098135.093245,364,a
1772098135.093296,356,a
1772098135.093313,0,a
1772098135.0933352,351,a
1772098135.0933561,387,a
1772098135.093371,0,a
1772098135.093392,387,a
1772098135.093415,391,a
1772098135.0934331,34,a
1772098135.093455,341,a
1772098135.093476,416,a
1772098135.093667,70,a
1772098135.093848,243,a
1772098135.093877,385,a
1772098135.093898,85,a
1772098135.0941272,192,a
1772098135.094286,342,a
1772098135.094412,121,a
1772098135.0944378,150,a
1772098135.0946329,346,a
1772098135.0947268,138,a
1772098135.094754,105,a
1772098135.094778,302,a
1772098135.0947998,150,a
1772098135.094819,43,a
1772098135.094841,257,a
1772098135.0948632,228,a
1772098135.094878,0,a
1772098135.0949,251,a
1772098135.094922,265,a
1772098135.095052,0,a
1772098135.0950751,197,a
1772098135.095097,227,a
1772098135.095117,34,a
1772098135.095254,167,a
1772098135.0952802,327,a
1772098135.095299,76,a
1772098135.095317,98,a
1772098135.095683,320,a
1772098135.095715,169,a
1772098135.096757,39,a
1772098135.096782,346,a
1772098135.0968041,221,a
1772098135.096819,0,a
1772098135.09686,332,a
1772098135.0968928,280,a
1772098135.0969338,0,a
1772098135.096965,359,a
1772098135.096998,288,a
1772098135.097017,0,a
1772098135.0970528,381,a
1772098135.09708,398,a
1772098135.0970979,5,a
1772098135.0971231,320,a
1772098135.097164,378,a
1772098135.097291,3,a
1772098135.097546,373,a
1772098135.097694,377,a
1772098135.0978491,27,a
1772098135.097954,327,a
1772098135.0982778,441,a
1772098135.098741,76,a
1772098135.098766,257,a
1772098135.098788,371,a
1772098135.098918,140,a
1772098135.099007,194,a
1772098135.099139,352,a
1772098135.0992,157,a
1772098135.0992498,128,a
1772098135.099303,309,a
1772098135.0993931,186,a
1772098135.0994911,41,a
1772098135.09961,264,a
1772098135.099641,225,a
1772098135.099658,0,a
1772098135.0996811,174,a
1772098135.099703,247,a
1772098135.099803,0,a
1772098135.099869,150,a
1772098135.099932,250,a
1772098135.0999758,46,a
1772098135.100044,142,a
1772098135.1001222,304,a
1772098135.1001868,110,a
1772098135.10027,87,a
1772098135.100613,335,a
1772098135.100642,176,a
1772098135.100661,58,a
1772098135.100682,337,a
1772098135.100705,184,a
1772098135.1007402,2,a
1772098135.1008441,322,a
1772098135.1009102,209,a
1772098135.100959,55,a
1772098135.101014,322,a
1772098135.101061,307,a
1772098135.1010938,0,a
1772098135.10114,358,a
1772098135.101192,301,a
1772098135.101226,0,a
1772098135.101274,419,a
1772098135.101674,352,a
1772098135.101745,0,a
1772098135.101803,494,a
1772098135.10185,447,a
1772098135.101869,0,a
1772098135.101891,505,a
1772098135.101913,520,a
1772098135.101928,6,a
1772098135.1020002,514,a
1772098135.1020632,520,a
1772098135.102106,16,a
1772098135.102155,484,a
1772098135.10222,476,a
1772098135.102286,29,a
1772098135.1023092,445,a
1772098135.102331,474,a
1772098135.10235,72,a
1772098135.102371,310,a
1772098135.102392,440,a
1772098135.10241,95,a
1772098135.102431,256,a
1772098135.102466,367,a
1772098135.102653,128,a
1772098135.102804,173,a
1772098135.1028311,386,a
1772098135.102853,166,a
1772098135.102873,88,a
1772098135.102894,319,a
1772098135.1029189,216,a
1772098135.1029341,2,a
1772098135.102955,246,a
1772098135.102976,241,a
1772098135.102994,33,a
1772098135.103114,198,a
1772098135.103223,298,a
1772098135.103325,64,a
1772098135.103352,176,a
1772098135.103477,337,a
1772098135.103499,157,a
1772098135.10352,130,a
1772098135.103541,372,a
1772098135.1035619,197,a
1772098135.10358,80,a
1772098135.1037922,396,a
1772098135.1039429,252,a
1772098135.103966,50,a
1772098135.10399,434,a
1772098135.104011,298,a
1772098135.10403,25,a
1772098135.1040509,443,a
1772098135.104079,360,a
1772098135.104094,0,a
1772098135.104115,453,a
1772098135.104136,414,a
1772098135.104154,17,a
1772098135.104175,410,a
1772098135.104196,414,a
1772098135.104214,38,a
1772098135.104235,354,a
1772098135.104256,348,a
1772098135.1042728,40,a
1772098135.1042938,212,a
1772098135.104339,290,a
1772098135.104358,68,a
1772098135.10438,145,a
1772098135.1044009,257,a
1772098135.1044219,122,a
1772098135.10444,84,a
1772098135.1044679,240,a
1772098135.10449,141,a
1772098135.104508,32,a
1772098135.104529,182,a
1772098135.10455,160,a
1772098135.104568,13,a
1772098135.104589,175,a
1772098135.10461,138,a
1772098135.104624,0,a
1772098135.104647,168,a
1772098135.104699,358,a
1772098135.104716,11,a
1772098135.104737,320,a
1772098135.104758,360,a
1772098135.104775,59,a
1772098135.104796,276,a
1772098135.1048162,389,a
1772098135.1048331,97,a
1772098135.104853,212,a
1772098135.104874,366,a
1772098135.1048949,106,a
1772098135.1049988,184,a
1772098135.1050901,324,a
1772098135.1051168,128,a
1772098135.1052039,120,a
1772098135.1052601,322,a
1772098135.105282,175,a
1772098135.105301,82,a
1772098135.109986,274,a
1772098135.120665,183,a
1772098135.131553,27,a
1772098135.142657,250,a
1772098135.153719,230,a
1772098135.164526,0,a
1772098135.175689,177,a
1772098135.186802,265,a
1772098135.19755,37,a
1772098135.2086809,113,a
1772098135.219925,257,a
1772098135.2321112,66,a
1772098135.241576,80,a
1772098135.2526562,298,a
1772098135.263686,125,a
1772098135.2746408,33,a
1772098135.285665,303,a
1772098135.29667,173,a
1772098135.3079538,32,a
1772098135.31868,338,a
1772098135.3297532,207,a
1772098135.340575,0,a
1772098135.351656,344,a
1772098135.362668,262,a
1772098135.373562,0,a
1772098135.3846989,316,a
1772098135.395791,273,a
1772098135.4065652,0,a
1772098135.417822,317,a
1772098135.428781,324,a
1772098135.439543,0,a
1772098135.450816,339,a
1772098135.4617841,387,a
1772098135.472539,4,a
1772098135.483784,310,a
1772098135.494785,400,a
1772098135.505683,22,a
1772098135.516775,299,a
1772098135.5279129,388,a
1772098135.538661,72,a
1772098135.549792,261,a
1772098135.560822,376,a
1772098135.571666,93,a
1772098135.5828311,227,a
1772098135.593817,332,a
1772098135.604733,97,a
1772098135.615795,187,a
1772098135.6276212,315,a
1772098135.637797,134,a
1772098135.6487832,71,a
1772098135.659827,272,a
1772098135.670808,157,a
1772098135.6818612,50,a
1772098135.724451,259,a
1772098135.724789,204,a
1772098135.724858,13,a
1772098135.725795,224,a
1772098135.73758,213,a
1772098135.747796,0,a
1772098135.758917,156,a
1772098135.7699142,227,a
1772098135.780684,0,a
1772098135.791944,116,a
1772098135.802916,249,a
1772098135.813793,51,a
1772098135.824818,88,a
1772098135.835907,261,a
1772098135.847561,114,a
1772098135.857793,40,a
1772098135.868916,253,a
1772098135.879921,165,a
1772098135.890791,58,a
1772098135.901985,338,a
1772098135.9129221,230,a
1772098135.92383,1,a
1772098135.9349508,313,a
1772098135.9472709,274,a
1772098135.956813,0,a
1772098135.967989,293,a
1772098135.978938,289,a
1772098135.9897978,0,a
1772098136.000923,313,a
1772098136.011932,299,a
1772098136.022801,0,a
1772098136.033987,315,a
1772098136.044914,316,a
1772098136.055789,0,a
1772098136.067499,334,a
1772098136.077939,355,a
1772098136.0889878,27,a
1772098136.099922,294,a
1772098136.110949,384,a
1772098136.12967,69,a
1772098136.1348228,239,a
1772098136.168316,389,a
1772098136.1686258,77,a
1772098136.168841,239,a
1772098136.183788,333,a
1772098136.187965,88,a
1772098136.198976,190,a
1772098136.209929,339,a
1772098136.220968,130,a
1772098136.232065,131,a
1772098136.24307,256,a
1772098136.2540438,163,a
1772098136.264918,49,a
1772098136.276076,265,a
1772098136.28753,183,a
1772098136.297836,4,a
1772098136.309045,191,a
1772098136.32016,219,a
1772098136.330831,1,a
1772098136.342125,171,a
1772098136.353099,216,a
1772098136.363798,8,a
1772098136.375077,144,a
1772098136.387425,229,a
1772098136.396929,50,a
1772098136.408062,105,a
1772098136.419055,239,a
1772098136.4299269,86,a
1772098136.440966,70,a
1772098136.452041,303,a
1772098136.4630568,128,a
1772098136.4739552,19,a
1772098136.4850729,317,a
1772098136.4960818,235,a
1772098136.5079522,0,a
1772098136.518071,301,a
1772098136.529067,246,a
1772098136.5401,0,a
1772098136.551046,302,a
1772098136.562034,282,a
1772098136.572926,0,a
1772098136.584079,327,a
1772098136.595056,319,a
1772098136.605958,0,a
1772098136.617064,321,a
1772098136.628041,335,a
1772098136.639065,14,a
1772098136.650183,327,a
1772098136.66356,389,a
1772098136.680758,24,a
1772098136.684258,284,a
1772098136.6941829,398,a
1772098136.70506,34,a
1772098136.716162,265,a
1772098136.727194,366,a
1772098136.738366,51,a
1772098136.750475,250,a
1772098136.7601962,362,a
1772098136.773528,105,a
1772098136.782223,190,a
1772098136.793843,331,a
1772098136.808162,131,a
1772098136.815845,108,a
1772098136.826178,288,a
1772098136.840037,137,a
1772098136.848073,65,a
1772098136.859176,311,a
1772098136.8720698,150,a
1772098136.8810391,12,a
1772098136.8921769,243,a
1772098136.9031758,200,a
1772098136.9140558,0,a
1772098136.9251661,217,a
1772098136.936904,205,a
1772098136.94711,0,a
1772098136.9581702,190,a
1772098136.970922,280,a
1772098136.980083,29,a
1772098136.991194,128,a
1772098137.002211,289,a
1772098137.013164,112,a
1772098137.024102,73,a
1772098137.0352361,276,a
1772098137.046174,136,a
1772098137.0571048,82,a
1772098137.068198,343,a
1772098137.079177,200,a
1772098137.090275,40,a
1772098137.101184,420,a
1772098137.112179,370,a
1772098137.12306,0,a
1772098137.134228,393,a
1772098137.145174,346,a
1772098137.1560802,0,a
1772098137.167223,392,a
1772098137.179759,388,a
1772098137.190808,0,a
1772098137.204586,390,a
1772098137.218435,469,a
1772098137.222364,0,a
1772098137.233244,349,a
1772098137.244382,447,a
1772098137.255199,24,a
1772098137.2662961,363,a
1772098137.277329,488,a
1772098137.288171,73,a
1772098137.29933,353,a
1772098137.3106859,490,a
1772098137.321343,132,a
1772098137.3323321,266,a
1772098137.3432992,427,a
1772098137.3542988,150,a
1772098137.365346,224,a
1772098137.376312,411,a
1772098137.387326,181,a
1772098137.398298,157,a
1772098137.4108531,379,a
1772098137.420332,201,a
1772098137.4312289,88,a
1772098137.4422998,299,a
1772098137.4533062,238,a
1772098137.464077,0,a
1772098137.475303,288,a
1772098137.486333,263,a
1772098137.497053,0,a
1772098137.508329,221,a
1772098137.5193,304,a
1772098137.5308301,4,a
1772098137.541331,170,a
1772098137.55231,285,a
1772098137.563165,66,a
1772098137.5743418,127,a
1772098137.585331,346,a
1772098137.59629,138,a
1772098137.607209,55,a
1772098137.618342,362,a
1772098137.630809,253,a
1772098137.64021,20,a
1772098137.6513011,382,a
1772098137.662308,269,a
1772098137.673219,0,a
1772098137.684316,400,a
1772098137.695307,350,a
1772098137.706211,0,a
1772098137.717332,369,a
1772098137.7283058,370,a
1772098137.739179,0,a
1772098137.750904,369,a
1772098137.761311,367,a
1772098137.7721999,0,a
1772098137.783319,388,a
1772098137.794293,434,a
1772098137.805334,26,a
1772098137.816332,378,a
1772098137.827335,514,a
1772098137.838326,36,a
1772098137.850809,342,a
1772098137.860333,482,a
1772098137.8713212,59,a
1772098137.8823402,334,a
1772098137.893335,467,a
1772098137.904345,103,a
1772098137.915339,300,a
1772098137.926322,480,a
1772098137.937333,162,a
1772098137.948338,197,a
1772098137.959352,399,a
1772098137.970871,150,a
1772098137.981339,120,a
1772098137.992428,353,a
1772098138.003465,188,a
1772098138.014341,54,a
1772098138.025457,287,a
1772098138.036459,263,a
1772098138.0472279,0,a
1772098138.058461,227,a
1772098138.070765,257,a
1772098138.080238,0,a
1772098138.091428,184,a
1772098138.10246,253,a
1772098138.113297,34,a
1772098138.124458,149,a
1772098138.135458,291,a
1772098138.146446,111,a
1772098138.1573372,79,a
1772098138.168463,289,a
1772098138.179453,120,a
1772098138.190437,36,a
1772098138.201459,307,a
1772098138.212467,178,a
1772098138.223339,60,a
1772098138.234462,327,a
1772098138.245461,256,a
1772098138.256214,0,a
1772098138.267458,304,a
1772098138.2784681,239,a
1772098138.289758,0,a
1772098138.30046,331,a
1772098138.311427,266,a
1772098138.322193,0,a
1772098138.33343,350,a
1772098138.344445,347,a
1772098138.355226,0,a
1772098138.366462,336,a
1772098138.377451,381,a
1772098138.3882198,9,a
1772098138.399461,297,a
1772098138.410836,346,a
1772098138.421338,24,a
1772098138.432477,288,a
1772098138.44346,401,a
1772098138.454338,21,a
1772098138.465496,303,a
