timestamp,sensor_value,label
1772100466.736021,9,a
1772100466.736484,2096,a
1772100466.7367811,3114,a
1772100466.736852,1212,a
1772100466.737002,1608,a
1772100466.7371352,2828,a
1772100466.737231,1514,a
1772100466.737349,987,a
1772100466.7374132,2497,a
1772100466.737468,1818,a
1772100466.737518,442,a
1772100466.7375739,2092,a
1772100466.737628,2089,a
1772100466.737674,159,a
1772100466.737726,1719,a
1772100466.737778,2294,a
1772100466.738024,730,a
1772100466.738239,1435,a
1772100466.738327,2427,a
1772100466.73844,1266,a
1772100466.738571,1163,a
1772100466.7386749,2592,a
1772100466.739446,1671,a
1772100466.7396932,1048,a
1772100466.739784,2729,a
1772100466.740063,2109,a
1772100466.7401679,726,a
1772100466.7402592,2922,a
1772100466.740318,2638,a
1772100466.740365,561,a
1772100466.740423,3013,a
1772100466.740567,2974,a
1772100466.740628,285,a
1772100466.7407281,3260,a
1772100466.740854,3367,a
1772100466.740941,195,a
1772100466.7410262,3308,a
1772100466.741091,3511,a
1772100466.74114,376,a
1772100466.741195,3066,a
1772100466.741258,3499,a
1772100466.741306,667,a
1772100466.7414029,2738,a
1772100466.741458,3321,a
1772100466.741505,942,a
1772100466.741575,2149,a
1772100466.7416131,3131,a
1772100466.74172,1162,a
1772100466.7418392,1605,a
1772100466.742003,2843,a
1772100466.7421389,1315,a
1772100466.742199,1000,a
1772100466.7422552,2487,a
1772100466.742309,1544,a
1772100466.7423549,514,a
1772100466.742435,2190,a
1772100466.742528,1880,a
1772100466.7425878,136,a
1772100466.7426848,1776,a
1772100466.742759,2235,a
1772100466.742864,576,a
1772100466.742954,1481,a
1772100466.743019,2328,a
1772100466.743079,1127,a
1772100466.743197,1182,a
1772100466.74326,2527,a
1772100466.743316,1533,a
1772100466.7433631,987,a
1772100466.74342,2695,a
1772100466.7435079,2044,a
1772100466.7435641,751,a
1772100466.743618,2850,a
1772100466.7436721,2471,a
1772100466.743724,467,a
1772100466.7437818,3104,a
1772100466.7438452,2819,a
1772100466.743892,376,a
1772100466.743954,3284,a
1772100466.744012,3243,a
1772100466.744084,211,a
1772100466.7441359,3287,a
1772100466.744201,3515,a
1772100466.744247,355,a
1772100466.744298,3223,a
1772100466.744349,3511,a
1772100466.744394,537,a
1772100466.7444448,2818,a
1772100466.7444968,3480,a
1772100466.744542,870,a
1772100466.7445939,2320,a
1772100466.744645,3236,a
1772100466.7446961,1153,a
1772100466.744747,1841,a
1772100466.744801,2885,a
1772100466.744853,1356,a
1772100466.744904,1283,a
1772100466.745009,2661,a
1772100466.74509,1607,a
1772100466.745145,770,a
1772100466.745205,2335,a
1772100466.745261,1878,a
1772100466.7453089,189,a
1772100466.7453618,1919,a
1772100466.7454169,2166,a
1772100466.7454631,356,a
1772100466.745516,1564,a
1772100466.745568,2352,a
1772100466.745614,869,a
1772100466.745667,1301,a
1772100466.7457259,2499,a
1772100466.7457862,1426,a
