timestamp,sensor_value,label
1772097646.364578,512,a
1772097646.364633,0,a
1772097646.3646772,569,a
1772097646.364702,581,a
1772097646.364717,0,a
1772097646.364738,620,a
1772097646.364773,666,a
1772097646.364792,35,a
1772097646.3648121,549,a
1772097646.3648908,674,a
1772097646.364914,107,a
1772097646.364949,404,a
1772097646.36497,601,a
1772097646.36499,194,a
1772097646.376232,366,a
1772097646.386622,598,a
1772097646.3975968,198,a
1772097646.408594,323,a
1772097646.419615,594,a
1772097646.430712,259,a
1772097646.441629,253,a
1772097646.45262,566,a
1772097646.4644742,282,a
1772097646.474609,168,a
1772097646.48591,483,a
1772097646.496646,330,a
1772097646.507604,97,a
1772097646.518634,454,a
1772097646.5296068,365,a
1772097646.540606,16,a
1772097646.551656,375,a
1772097646.562645,384,a
1772097646.573478,0,a
1772097646.585032,331,a
1772097646.595922,430,a
1772097646.606514,57,a
1772097646.6176078,257,a
1772097646.628627,430,a
1772097646.6397572,120,a
1772097646.6516979,159,a
1772097646.661728,452,a
1772097646.672599,200,a
1772097646.6852999,128,a
1772097646.694634,448,a
1772097646.706727,284,a
1772097646.716526,39,a
1772097646.7281458,500,a
1772097646.7434292,341,a
1772097646.750251,0,a
1772097646.760659,471,a
1772097646.771924,412,a
1772097646.782486,0,a
1772097646.794184,528,a
1772097646.804618,540,a
1772097646.815608,0,a
1772097646.826624,514,a
1772097646.837628,592,a
1772097646.848507,54,a
1772097646.859649,479,a
1772097646.870684,553,a
1772097646.881498,73,a
1772097646.8932,435,a
1772097646.9036338,540,a
1772097646.914614,106,a
1772097646.92562,389,a
1772097646.936646,471,a
1772097646.9475358,46,a
1772097646.958616,419,a
1772097646.969623,492,a
1772097646.980497,99,a
1772097646.991622,352,a
1772097647.00262,501,a
1772097647.013503,96,a
1772097647.063594,354,a
1772097647.063657,504,a
1772097647.063688,151,a
1772097647.0638368,314,a
1772097647.07077,475,a
1772097647.07969,133,a
1772097647.09119,254,a
1772097647.101612,490,a
1772097647.112621,200,a
1772097647.123612,190,a
1772097647.1347158,398,a
1772097647.145605,210,a
1772097647.156613,147,a
1772097647.167616,383,a
1772097647.178624,238,a
1772097647.189499,55,a
1772097647.200617,318,a
1772097647.211621,237,a
1772097647.222396,0,a
1772097647.234209,290,a
1772097647.2446039,290,a
1772097647.2553852,0,a
1772097647.267452,226,a
1772097647.277617,312,a
1772097647.2884889,29,a
1772097647.299702,160,a
1772097647.3106549,335,a
