timestamp,sensor_value,label
1772099574.4033642,660,a
1772099574.4035609,639,a
1772099574.403635,0,a
1772099574.427358,584,a
1772099574.4472818,629,a
1772099574.447383,0,a
1772099574.447419,521,a
1772099574.447448,590,a
1772099574.447475,36,a
1772099574.447503,380,a
1772099574.44753,536,a
1772099574.4475572,105,a
1772099574.447584,284,a
1772099574.447617,512,a
1772099574.447644,205,a
1772099574.447671,175,a
1772099574.447778,452,a
1772099574.4602618,286,a
1772099574.469919,67,a
1772099574.480727,389,a
1772099574.491725,347,a
1772099574.502622,3,a
1772099574.5137348,369,a
1772099574.5247328,416,a
1772099574.535637,60,a
1772099574.5480251,343,a
1772099574.558014,503,a
1772099574.577355,175,a
1772099574.5797381,314,a
1772099574.590736,612,a
1772099574.6017349,338,a
1772099574.612746,275,a
1772099574.6237319,736,a
1772099574.634736,496,a
1772099574.645736,233,a
1772099574.656745,850,a
1772099574.667816,627,a
1772099574.678758,166,a
1772099574.689802,876,a
1772099574.7007732,734,a
1772099574.711688,98,a
1772099574.7228029,893,a
1772099574.733684,798,a
1772099574.74466,34,a
1772099574.755643,789,a
1772099574.766643,777,a
1772099574.7775161,1,a
1772099574.7886121,708,a
1772099574.800545,734,a
1772099574.810585,0,a
1772099574.8216372,615,a
1772099574.8326452,716,a
1772099574.8436108,56,a
1772099574.854655,510,a
1772099574.865633,673,a
1772099574.8768482,80,a
1772099574.8876412,387,a
1772099574.8986292,550,a
1772099574.909622,138,a
1772099574.9208362,241,a
1772099574.9316769,457,a
1772099574.9426198,206,a
1772099574.953612,131,a
1772099574.964672,399,a
1772099574.975845,281,a
1772099574.9864872,9,a
1772099574.9979599,368,a
1772099575.0086179,375,a
1772099575.019532,16,a
1772099575.0306408,377,a
1772099575.064578,448,a
1772099575.0646641,80,a
1772099575.0647192,366,a
1772099575.074832,566,a
1772099575.0863721,231,a
1772099575.09662,297,a
1772099575.107615,682,a
1772099575.118618,376,a
1772099575.129631,291,a
1772099575.1409678,817,a
1772099575.151645,581,a
1772099575.162614,224,a
1772099575.173627,963,a
1772099575.184656,735,a
1772099575.195619,155,a
1772099575.211682,1040,a
1772099575.217643,862,a
1772099575.228498,97,a
1772099575.239619,1001,a
1772099575.2506208,864,a
1772099575.261492,44,a
1772099575.272615,879,a
1772099575.2836459,866,a
1772099575.294393,4,a
1772099575.305708,778,a
1772099575.3165288,835,a
1772099575.3274891,16,a
1772099575.3385239,649,a
1772099575.349534,804,a
1772099575.361106,54,a
1772099575.3714979,554,a
1772099575.3824909,746,a
1772099575.3934941,161,a
1772099575.404541,391,a
1772099575.415498,655,a
1772099575.4265118,286,a
1772099575.43753,270,a
1772099575.448488,594,a
1772099575.4603488,391,a
1772099575.4705012,96,a
1772099575.481566,527,a
1772099575.492497,463,a
1772099575.50337,0,a
1772099575.514525,500,a
1772099575.5255208,533,a
1772099575.5364952,72,a
1772099575.5475159,452,a
1772099575.558517,618,a
1772099575.569509,205,a
1772099575.581254,384,a
1772099575.5915039,730,a
1772099575.60258,371,a
1772099575.613528,337,a
1772099575.6244931,855,a
1772099575.635493,536,a
1772099575.6464908,283,a
1772099575.657491,948,a
1772099575.6685052,703,a
1772099575.680008,214,a
1772099575.690624,1043,a
1772099575.701494,875,a
1772099575.712515,121,a
1772099575.723629,1062,a
1772099575.7345269,919,a
1772099575.7454028,61,a
1772099575.756622,1008,a
1772099575.767522,907,a
1772099575.7784069,14,a
1772099575.789508,840,a
1772099575.801118,910,a
1772099575.8113978,14,a
1772099575.822505,771,a
1772099575.833523,860,a
1772099575.844397,28,a
1772099575.85549,661,a
1772099575.866529,841,a
1772099575.877527,117,a
1772099575.888525,529,a
1772099575.8995368,764,a
1772099575.910539,225,a
1772099575.921493,382,a
1772099575.932533,660,a
1772099575.9435341,347,a
1772099575.954526,214,a
1772099575.965538,561,a
1772099575.976529,409,a
1772099575.987374,28,a
1772099575.998413,512,a
1772099576.009407,512,a
1772099576.021002,26,a
1772099576.031373,486,a
1772099576.042388,572,a
1772099576.053403,144,a
1772099576.064409,421,a
1772099576.075368,661,a
1772099576.086399,270,a
1772099576.097399,368,a
1772099576.108408,770,a
1772099576.12027,459,a
1772099576.130399,335,a
1772099576.141381,892,a
1772099576.1523771,604,a
1772099576.163435,240,a
1772099576.1744928,1022,a
1772099576.185369,800,a
1772099576.196453,170,a
1772099576.207498,1067,a
1772099576.2183769,895,a
1772099576.229247,84,a
1772099576.241179,1030,a
1772099576.251421,955,a
1772099576.2622569,32,a
1772099576.273397,951,a
1772099576.284469,920,a
1772099576.2951481,2,a
1772099576.306375,820,a
1772099576.317409,873,a
1772099576.328256,15,a
1772099576.339416,692,a
1772099576.3504052,851,a
1772099576.361396,104,a
1772099576.372412,582,a
1772099576.38341,807,a
1772099576.394392,153,a
1772099576.40539,450,a
1772099576.416283,695,a
1772099576.427273,284,a
1772099576.438283,271,a
1772099576.449291,623,a
1772099576.461142,368,a
1772099576.471277,95,a
1772099576.48225,530,a
1772099576.49327,428,a
1772099576.504163,4,a
1772099576.515318,491,a
1772099576.526258,449,a
1772099576.537278,54,a
1772099576.548287,442,a
1772099576.559288,610,a
1772099576.570281,185,a
1772099576.5813062,416,a
1772099576.592293,703,a
1772099576.60325,331,a
1772099576.614292,336,a
1772099576.625288,821,a
1772099576.6362538,516,a
1772099576.647288,314,a
1772099576.658294,962,a
1772099576.6692748,678,a
1772099576.680785,159,a
1772099576.6913989,1054,a
1772099576.7022479,800,a
1772099576.713252,129,a
1772099576.724406,1077,a
1772099576.735303,885,a
1772099576.746167,87,a
1772099576.757308,969,a
1772099576.768289,899,a
1772099576.779159,32,a
1772099576.790287,900,a
1772099576.8015869,882,a
1772099576.8121338,16,a
1772099576.823244,777,a
1772099576.834265,839,a
1772099576.8451562,39,a
1772099576.8562791,624,a
1772099576.867281,857,a
1772099576.878177,70,a
1772099576.889267,485,a
1772099576.9011781,780,a
1772099576.911272,207,a
1772099576.922304,386,a
1772099576.933294,663,a
1772099576.944253,311,a
1772099576.955272,226,a
1772099576.96629,604,a
1772099576.9772851,446,a
1772099576.9881659,88,a
1772099576.999277,529,a
1772099577.010286,445,a
1772099577.021135,44,a
1772099577.032282,461,a
1772099577.043257,567,a
1772099577.0542889,105,a
1772099577.065254,445,a
1772099577.0762932,642,a
1772099577.08726,254,a
1772099577.0983338,457,a
1772099577.109299,693,a
1772099577.121375,399,a
1772099577.131291,323,a
1772099577.142286,892,a
1772099577.1532722,520,a
1772099577.164293,212,a
1772099577.175325,910,a
1772099577.186261,717,a
1772099577.1972742,192,a
1772099577.208274,1071,a
1772099577.2191548,873,a
1772099577.230138,99,a
1772099577.2415318,1028,a
1772099577.2521548,916,a
1772099577.263608,84,a
1772099577.274275,1051,a
1772099577.285155,913,a
1772099577.2961411,28,a
1772099577.307169,899,a
1772099577.318182,862,a
1772099577.329165,80,a
1772099577.3419368,783,a
1772099577.351188,877,a
1772099577.362144,52,a
1772099577.37317,586,a
1772099577.384139,906,a
1772099577.395194,143,a
1772099577.406154,472,a
1772099577.417152,788,a
1772099577.428155,337,a
1772099577.439151,314,a
1772099577.450141,678,a
1772099577.46177,331,a
1772099577.4722052,123,a
1772099577.4831848,572,a
1772099577.494145,462,a
1772099577.5050502,24,a
1772099577.516141,535,a
1772099577.527144,554,a
1772099577.538149,130,a
1772099577.5491378,474,a
1772099577.5618198,607,a
1772099577.571141,191,a
1772099577.582141,466,a
1772099577.593141,670,a
1772099577.604139,264,a
1772099577.615139,431,a
1772099577.6261399,788,a
1772099577.6371431,440,a
1772099577.648175,250,a
1772099577.659141,897,a
1772099577.6701481,604,a
1772099577.681149,269,a
1772099577.692149,1036,a
1772099577.703139,788,a
1772099577.714151,173,a
1772099577.725146,1122,a
1772099577.736029,956,a
1772099577.747027,53,a
1772099577.758136,1058,a
1772099577.769035,996,a
1772099577.781922,46,a
1772099577.7910268,869,a
1772099577.802052,905,a
1772099577.813055,13,a
1772099577.8240151,751,a
1772099577.8350358,845,a
1772099577.846026,46,a
1772099577.85703,640,a
1772099577.868036,806,a
1772099577.8790221,138,a
1772099577.890058,553,a
1772099577.901991,733,a
1772099577.912061,166,a
1772099577.92304,403,a
1772099577.934044,684,a
1772099577.945033,291,a
1772099577.956047,233,a
1772099577.967047,613,a
1772099577.978069,402,a
1772099577.988958,43,a
1772099578.001654,569,a
1772099578.011044,541,a
1772099578.021935,34,a
1772099578.033043,544,a
1772099578.0440462,525,a
1772099578.05505,168,a
1772099578.066045,445,a
1772099578.077027,694,a
1772099578.088052,250,a
1772099578.099061,466,a
1772099578.110036,791,a
1772099578.121044,431,a
1772099578.1320488,325,a
1772099578.1430259,903,a
1772099578.15393,645,a
1772099578.164906,261,a
1772099578.176075,1037,a
1772099578.186928,801,a
1772099578.197931,130,a
1772099578.209048,1383,a
1772099578.2199218,970,a
1772099578.230926,27,a
1772099578.242023,1030,a
1772099578.253022,1037,a
1772099578.263812,29,a
1772099578.2749162,973,a
1772099578.285883,932,a
1772099578.2968068,32,a
1772099578.307921,837,a
1772099578.318926,913,a
1772099578.3298051,25,a
1772099578.34175,690,a
1772099578.351902,877,a
1772099578.3628988,100,a
1772099578.3739169,553,a
1772099578.384894,800,a
1772099578.395933,206,a
1772099578.406911,437,a
1772099578.417918,712,a
1772099578.428921,275,a
1772099578.439918,275,a
1772099578.450932,636,a
1772099578.461925,384,a
1772099578.4728189,25,a
1772099578.483903,549,a
1772099578.4949389,458,a
1772099578.505712,2,a
1772099578.5167942,491,a
1772099578.527789,527,a
1772099578.538825,92,a
1772099578.549831,441,a
1772099578.562315,641,a
1772099578.5718122,234,a
1772099578.582777,449,a
1772099578.593796,763,a
1772099578.6048052,417,a
1772099578.615809,312,a
1772099578.626806,860,a
1772099578.637805,642,a
1772099578.6488042,268,a
1772099578.659916,1179,a
1772099578.670806,916,a
1772099578.681857,196,a
1772099578.692904,1243,a
1772099578.7039292,1076,a
1772099578.714804,106,a
1772099578.7258098,1267,a
1772099578.73681,1118,a
1772099578.74768,33,a
1772099578.7623858,1100,a
1772099578.7697809,1110,a
1772099578.781868,9,a
1772099578.7918,948,a
1772099578.8027909,1053,a
1772099578.813684,57,a
1772099578.8246882,813,a
1772099578.835807,1006,a
1772099578.846693,186,a
1772099578.8576908,644,a
1772099578.86869,941,a
1772099578.8809228,288,a
1772099578.89065,472,a
1772099578.901925,837,a
1772099578.9126751,363,a
1772099578.923677,319,a
1772099578.934655,742,a
1772099578.9456809,472,a
1772099578.9565508,97,a
1772099578.967666,636,a
1772099578.978656,586,a
1772099578.989558,16,a
1772099579.002008,575,a
1772099579.011656,659,a
1772099579.02265,161,a
1772099579.0337012,482,a
1772099579.04465,774,a
1772099579.055646,335,a
1772099579.066727,450,a
1772099579.077674,870,a
1772099579.088568,532,a
1772099579.099566,518,a
1772099579.110548,936,a
1772099579.122229,677,a
1772099579.132548,304,a
1772099579.143726,1161,a
1772099579.1545632,864,a
1772099579.165567,221,a
1772099579.176683,1195,a
1772099579.187686,1054,a
1772099579.198561,128,a
1772099579.2096698,1226,a
1772099579.222103,1115,a
1772099579.231439,59,a
1772099579.242647,1175,a
1772099579.253682,1134,a
1772099579.2644181,10,a
1772099579.275574,952,a
1772099579.286687,1099,a
1772099579.297444,53,a
1772099579.3085551,840,a
1772099579.319537,979,a
1772099579.330561,138,a
1772099579.341971,699,a
1772099579.352556,922,a
1772099579.363529,301,a
1772099579.3745532,607,a
1772099579.385556,907,a
1772099579.3965518,263,a
1772099579.407573,388,a
1772099579.4185631,719,a
1772099579.429419,490,a
1772099579.44199,123,a
1772099579.451461,659,a
1772099579.462411,597,a
1772099579.473425,38,a
1772099579.484437,593,a
1772099579.4954429,619,a
1772099579.5064378,92,a
1772099579.517478,500,a
1772099579.528417,709,a
1772099579.5394409,261,a
1772099579.5504372,454,a
1772099579.5614002,857,a
1772099579.572434,480,a
1772099579.583436,414,a
1772099579.594429,934,a
1772099579.6054242,594,a
1772099579.61643,372,a
1772099579.627573,1148,a
1772099579.638431,794,a
1772099579.6494222,260,a
1772099579.6621592,1195,a
1772099579.671562,1000,a
1772099579.682404,141,a
1772099579.693557,1220,a
1772099579.704565,1086,a
1772099579.715413,114,a
1772099579.726449,1221,a
1772099579.737972,1076,a
1772099579.748312,26,a
1772099579.75942,1065,a
1772099579.770448,1069,a
1772099579.782374,29,a
1772099579.792415,905,a
1772099579.8034291,1012,a
1772099579.8142982,64,a
1772099579.825303,803,a
1772099579.836303,941,a
1772099579.847481,185,a
1772099579.8582962,547,a
1772099579.869317,886,a
1772099579.882576,289,a
1772099579.8912928,485,a
1772099579.902687,783,a
1772099579.9133272,411,a
1772099579.92429,205,a
1772099579.9352891,703,a
1772099579.946294,480,a
1772099579.957161,63,a
1772099579.968367,578,a
1772099579.979319,664,a
1772099579.990344,105,a
1772099580.002639,556,a
1772099580.012293,683,a
1772099580.0232809,204,a
1772099580.0343192,446,a
1772099580.045299,756,a
1772099580.056283,375,a
1772099580.0672908,413,a
1772099580.078308,966,a
1772099580.08929,572,a
1772099580.1026409,400,a
1772099580.111302,1053,a
1772099580.1227012,781,a
1772099580.1332989,286,a
1772099580.144307,1143,a
1772099580.155184,954,a
1772099580.166173,128,a
1772099580.177289,1247,a
1772099580.188295,1086,a
1772099580.1991758,132,a
1772099580.21029,1221,a
1772099580.2227142,1107,a
1772099580.232161,31,a
1772099580.243284,1011,a
1772099580.254295,1070,a
1772099580.2650619,28,a
1772099580.2761579,950,a
1772099580.287298,1038,a
1772099580.298045,65,a
