timestamp,sensor_value,label
1772099160.113878,611,a
1772099160.113985,764,a
1772099160.114037,105,a
1772099160.114084,478,a
1772099160.11413,665,a
1772099160.114177,181,a
1772099160.114222,335,a
1772099160.1142669,590,a
1772099160.114312,274,a
1772099160.114358,192,a
1772099160.114403,522,a
1772099160.114447,360,a
1772099160.114485,40,a
1772099160.1145291,494,a
1772099160.114573,428,a
1772099160.114604,0,a
1772099160.1191418,456,a
1772099160.136126,512,a
1772099160.13948,86,a
1772099160.15087,412,a
1772099160.16153,581,a
1772099160.1724968,197,a
1772099160.183522,363,a
1772099160.194512,694,a
1772099160.2055192,349,a
1772099160.223145,330,a
1772099160.22782,832,a
1772099160.240549,530,a
1772099160.249713,283,a
1772099160.2605598,954,a
1772099160.271557,685,a
1772099160.282527,200,a
1772099160.293634,1011,a
1772099160.304526,822,a
1772099160.315521,123,a
1772099160.326653,1019,a
1772099160.337562,853,a
1772099160.3485491,69,a
1772099160.359572,933,a
1772099160.370524,832,a
1772099160.381523,28,a
1772099160.392521,848,a
1772099160.4035609,823,a
1772099160.4144409,0,a
1772099160.4262779,742,a
1772099160.440285,822,a
1772099160.4617422,0,a
1772099160.462396,630,a
1772099160.474185,767,a
1772099160.48056,69,a
1772099160.491633,512,a
1772099160.5025349,696,a
1772099160.513546,174,a
1772099160.524532,392,a
1772099160.535563,598,a
1772099160.5465689,258,a
1772099160.557558,219,a
1772099160.5685508,546,a
1772099160.5795252,339,a
1772099160.5905569,73,a
1772099160.601534,497,a
1772099160.612541,411,a
1772099160.623392,0,a
1772099160.63456,470,a
1772099160.6455538,475,a
1772099160.656529,41,a
1772099160.667563,416,a
1772099160.678567,565,a
1772099160.689534,188,a
1772099160.700534,376,a
1772099160.7115588,684,a
1772099160.736254,341,a
1772099160.736311,342,a
1772099160.750286,817,a
1772099160.755636,522,a
1772099160.766531,284,a
1772099160.777558,951,a
1772099160.788516,655,a
1772099160.799537,232,a
1772099160.810584,996,a
1772099160.821562,790,a
1772099160.832544,147,a
1772099160.843689,1032,a
1772099160.85453,838,a
1772099160.865559,84,a
1772099160.8765671,927,a
1772099160.887533,852,a
1772099160.898535,30,a
1772099160.909535,849,a
1772099160.9205298,829,a
1772099160.9314282,0,a
1772099160.942559,744,a
1772099160.953522,803,a
1772099160.964427,6,a
1772099160.975523,636,a
1772099160.986551,785,a
1772099160.997993,64,a
1772099161.008537,565,a
1772099161.019526,719,a
1772099161.0306518,148,a
1772099161.041642,421,a
1772099161.0526688,617,a
1772099161.0636532,240,a
1772099161.074674,263,a
1772099161.0856588,554,a
1772099161.0967119,325,a
1772099161.1075368,93,a
1772099161.118548,502,a
1772099161.129534,393,a
1772099161.140405,0,a
1772099161.151547,456,a
1772099161.162529,450,a
1772099161.17354,36,a
1772099161.1845388,421,a
1772099161.195561,569,a
1772099161.206584,181,a
1772099161.2175639,399,a
1772099161.228535,676,a
1772099161.241586,326,a
1772099161.250547,345,a
1772099161.2615511,800,a
1772099161.2725492,494,a
1772099161.283535,301,a
1772099161.29454,926,a
1772099161.305668,648,a
1772099161.316662,239,a
1772099161.3276742,958,a
1772099161.338967,763,a
1772099161.349666,167,a
1772099161.360659,1044,a
1772099161.37165,833,a
1772099161.382549,76,a
1772099161.393655,972,a
1772099161.404651,844,a
1772099161.415446,0,a
1772099161.426677,759,a
1772099161.437685,862,a
1772099161.4484239,4,a
1772099161.4596622,710,a
1772099161.4706922,684,a
1772099161.4815629,49,a
1772099161.4926689,835,a
1772099161.503649,725,a
1772099161.514652,136,a
1772099161.52565,747,a
1772099161.5366411,616,a
1772099161.5476558,302,a
1772099161.5590909,635,a
1772099161.569636,505,a
1772099161.5807061,201,a
1772099161.5916631,236,a
1772099161.602651,428,a
1772099161.613657,329,a
1772099161.624651,112,a
1772099161.635652,366,a
1772099161.646662,311,a
1772099161.658345,144,a
1772099161.6686568,347,a
1772099161.679853,359,a
1772099161.6905348,18,a
1772099161.701665,287,a
1772099161.712657,434,a
1772099161.723542,62,a
1772099161.734658,329,a
1772099161.745676,512,a
1772099161.756661,306,a
1772099161.767665,310,a
1772099161.7793589,671,a
1772099161.789661,560,a
1772099161.800661,276,a
1772099161.811657,823,a
1772099161.822656,569,a
1772099161.8336508,227,a
1772099161.844661,904,a
1772099161.855658,824,a
1772099161.866551,89,a
1772099161.8776598,973,a
1772099161.888662,903,a
1772099161.899605,57,a
1772099161.910699,943,a
1772099161.921671,722,a
1772099161.932582,44,a
1772099161.9436579,738,a
1772099161.954689,849,a
1772099161.965564,17,a
1772099161.976681,458,a
1772099161.987697,696,a
1772099161.998537,8,a
1772099162.009682,457,a
1772099162.020685,645,a
1772099162.031683,111,a
1772099162.042679,453,a
1772099162.053654,753,a
1772099162.064689,251,a
1772099162.075691,360,a
1772099162.086642,553,a
1772099162.09769,238,a
1772099162.10869,307,a
1772099162.119652,454,a
1772099162.130698,289,a
1772099162.141574,40,a
1772099162.15269,395,a
1772099162.1636631,147,a
1772099162.174569,78,a
1772099162.185688,340,a
1772099162.196661,408,a
1772099162.2075741,10,a
1772099162.2188969,327,a
1772099162.2296882,494,a
1772099162.240653,107,a
1772099162.2516558,323,a
1772099162.262658,595,a
1772099162.273679,392,a
1772099162.284658,292,a
1772099162.2957299,664,a
1772099162.306655,431,a
1772099162.31891,241,a
1772099162.328662,732,a
1772099162.339645,515,a
1772099162.350691,205,a
1772099162.361691,820,a
1772099162.372704,675,a
1772099162.383691,177,a
1772099162.394696,842,a
1772099162.405696,781,a
1772099162.4165702,94,a
1772099162.427692,816,a
1772099162.4390552,807,a
1772099162.449572,60,a
1772099162.4606662,731,a
1772099162.471683,765,a
1772099162.482572,21,a
1772099162.493689,692,a
1772099162.504684,759,a
1772099162.515569,0,a
1772099162.5267031,561,a
1772099162.537686,750,a
1772099162.548539,6,a
1772099162.559662,471,a
1772099162.570658,686,a
1772099162.581573,97,a
1772099162.592695,379,a
1772099162.6036952,630,a
1772099162.614696,167,a
1772099162.625664,271,a
1772099162.636692,557,a
1772099162.647691,257,a
1772099162.659067,114,a
1772099162.669683,520,a
1772099162.680665,345,a
1772099162.691531,0,a
1772099162.702728,482,a
1772099162.7146611,410,a
1772099162.7246919,11,a
1772099162.7356899,448,a
1772099162.74667,472,a
1772099162.758785,103,a
1772099162.7687,398,a
1772099162.779657,554,a
1772099162.790679,241,a
1772099162.801696,355,a
1772099162.812691,670,a
1772099162.8236969,419,a
1772099162.834696,313,a
1772099162.8457012,800,a
1772099162.856691,552,a
1772099162.867697,239,a
1772099162.8787751,922,a
1772099162.889696,715,a
1772099162.9006982,199,a
1772099162.911696,963,a
1772099162.9227,820,a
1772099162.933693,137,a
1772099162.944688,990,a
1772099162.9556632,855,a
1772099162.9666822,67,a
1772099162.977699,882,a
1772099162.9886699,869,a
1772099162.999562,8,a
1772099163.010761,795,a
1772099163.0216992,831,a
1772099163.0325482,0,a
1772099163.043672,697,a
1772099163.054697,806,a
1772099163.0657,23,a
