timestamp,sensor_value,label
1772100673.459384,3510,a
1772100673.488126,1817,a
1772100673.488192,3418,a
1772100673.488224,3510,a
1772100673.488255,1401,a
1772100673.4882822,3416,a
1772100673.488308,3511,a
1772100673.488332,971,a
1772100673.488388,3406,a
1772100673.488458,3513,a
1772100673.488487,432,a
1772100673.488554,3405,a
1772100673.488584,3513,a
1772100673.488607,336,a
1772100673.488634,3407,a
1772100673.488661,3514,a
1772100673.4887528,648,a
1772100673.4901419,3400,a
1772100673.490189,3509,a
1772100673.490221,1120,a
1772100673.490249,3403,a
1772100673.4902751,3511,a
1772100673.4903018,1502,a
1772100673.490328,3415,a
1772100673.4903538,3515,a
1772100673.490381,2253,a
1772100673.4904058,3471,a
1772100673.4905632,3512,a
1772100673.4910989,2600,a
1772100673.4924512,2376,a
1772100673.492492,3482,a
1772100673.492521,2755,a
1772100673.49255,1467,a
1772100673.492584,3413,a
1772100673.4926121,3286,a
1772100673.492676,1089,a
1772100673.492702,2582,a
1772100673.4928021,1877,a
1772100673.492887,423,a
1772100673.4929469,2269,a
1772100673.493002,2178,a
1772100673.493052,238,a
1772100673.493137,1936,a
1772100673.4931688,2333,a
1772100673.493202,662,a
1772100673.49323,1733,a
1772100673.4932559,2624,a
1772100673.493282,1072,a
1772100673.4933078,1490,a
1772100673.493333,2839,a
1772100673.4974668,1540,a
1772100673.508544,1264,a
1772100673.519496,3039,a
1772100673.530638,2052,a
1772100673.541452,1098,a
1772100673.552473,3273,a
1772100673.56585,2629,a
1772100673.574343,905,a
1772100673.5854652,3407,a
1772100673.5973818,3022,a
1772100673.607452,653,a
1772100673.621509,3397,a
1772100673.6314292,3508,a
1772100673.640806,471,a
1772100673.651478,3404,a
1772100673.662519,3503,a
1772100673.673599,258,a
1772100673.684469,3394,a
1772100673.695484,3510,a
1772100673.706482,206,a
1772100673.7174962,3393,a
1772100673.728478,3508,a
1772100673.740705,485,a
1772100673.750549,3123,a
1772100673.761494,3494,a
1772100673.7725508,714,a
1772100673.783489,2666,a
1772100673.794471,3482,a
1772100673.805473,967,a
1772100673.8165948,2158,a
1772100673.827588,3218,a
1772100673.8426728,1298,a
1772100673.849683,1700,a
1772100673.861405,2974,a
1772100673.8715909,1543,a
1772100673.882598,1147,a
1772100673.893673,2554,a
1772100673.905813,1872,a
1772100673.915483,622,a
1772100673.926628,2295,a
1772100673.945111,2169,a
1772100673.9484642,199,a
1772100673.959975,1991,a
1772100673.970599,2336,a
1772100673.981469,561,a
1772100673.992624,1825,a
1772100674.003613,2523,a
1772100674.014621,1107,a
1772100674.0256262,1575,a
1772100674.036607,2791,a
1772100674.047617,1520,a
1772100674.058623,1361,a
1772100674.0695832,3016,a
1772100674.080731,2015,a
1772100674.091591,1098,a
1772100674.147796,3304,a
1772100674.1481001,2534,a
1772100674.1481578,971,a
1772100674.1502678,3401,a
1772100674.1503308,3041,a
1772100674.157517,717,a
1772100674.168579,3403,a
1772100674.1808362,3454,a
1772100674.19046,441,a
1772100674.2015822,3401,a
1772100674.212637,3507,a
1772100674.223456,238,a
1772100674.234591,3394,a
1772100674.245595,3514,a
1772100674.2564511,246,a
1772100674.2676191,3395,a
1772100674.2786062,3515,a
1772100674.289491,470,a
1772100674.3007722,3124,a
1772100674.311619,3496,a
1772100674.322471,721,a
1772100674.333581,2655,a
1772100674.344618,3403,a
1772100674.3556108,1032,a
1772100674.366632,2152,a
1772100674.37758,3252,a
1772100674.388582,1310,a
1772100674.400126,1617,a
1772100674.410614,2947,a
1772100674.42167,1624,a
1772100674.432578,1035,a
1772100674.4435909,2548,a
1772100674.454592,1955,a
1772100674.465475,450,a
1772100674.4765792,2239,a
1772100674.4875782,2206,a
1772100674.498466,174,a
1772100674.509579,1916,a
1772100674.521336,2389,a
1772100674.5314739,681,a
1772100674.5426,1795,a
1772100674.5537128,2587,a
1772100674.564598,1115,a
1772100674.575586,1464,a
1772100674.586596,2800,a
1772100674.597589,1565,a
1772100674.608581,1257,a
1772100674.621182,3097,a
1772100674.630621,2067,a
1772100674.64158,1116,a
1772100674.652599,3331,a
1772100674.663593,2583,a
1772100674.6744561,864,a
1772100674.68559,3395,a
1772100674.696615,3089,a
1772100674.707461,573,a
1772100674.718603,3402,a
1772100674.7295942,3507,a
1772100674.741214,384,a
1772100674.751623,3405,a
1772100674.76267,3508,a
1772100674.773461,209,a
1772100674.7845929,3399,a
1772100674.7956018,3512,a
1772100674.806452,419,a
1772100674.817597,3400,a
1772100674.8285801,3509,a
1772100674.841264,751,a
1772100674.850636,3308,a
1772100674.8615801,3506,a
1772100674.87258,1049,a
1772100674.883595,2798,a
1772100674.894575,3484,a
1772100674.905597,1365,a
1772100674.9166028,2064,a
1772100674.9276109,3467,a
1772100674.93858,1684,a
1772100674.94961,1437,a
1772100674.961283,3322,a
1772100674.9715798,1972,a
1772100674.982472,814,a
1772100674.9935858,2812,a
1772100675.0045922,2321,a
1772100675.0154932,315,a
1772100675.0265841,2525,a
1772100675.037591,2739,a
1772100675.048492,406,a
1772100675.0613928,2082,a
1772100675.070595,2971,a
1772100675.08181,1138,a
1772100675.092602,1903,a
1772100675.1036649,3076,a
1772100675.114593,1791,a
