timestamp,sensor_value,label
1772097780.619137,338,a
1772097780.6192708,0,a
1772097780.637381,394,a
1772097780.637664,386,a
1772097780.637743,3,a
1772097780.6378,379,a
1772097780.63795,416,a
1772097780.638067,20,a
1772097780.638112,360,a
1772097780.638147,443,a
1772097780.6381922,33,a
1772097780.63824,335,a
1772097780.6385942,409,a
1772097780.64502,81,a
1772097780.656137,273,a
1772097780.6671438,384,a
1772097780.6781518,96,a
1772097780.6891258,197,a
1772097780.7001688,380,a
1772097780.711124,130,a
1772097780.722134,137,a
1772097780.7381718,314,a
1772097780.753212,173,a
1772097780.755032,77,a
1772097780.7662039,302,a
1772097780.777128,192,a
1772097780.788005,12,a
1772097780.79944,246,a
1772097780.810133,208,a
1772097780.821013,1,a
1772097780.832129,219,a
1772097780.8431559,254,a
1772097780.8540428,22,a
1772097780.86516,146,a
1772097780.876193,265,a
1772097780.887434,48,a
1772097780.89817,130,a
1772097780.909138,289,a
1772097780.920226,111,a
1772097780.931036,87,a
1772097780.94216,319,a
1772097780.9531362,190,a
1772097780.9640388,28,a
1772097780.975136,318,a
1772097780.986797,217,a
1772097780.997022,19,a
1772097781.0081222,337,a
1772097781.019188,269,a
1772097781.029904,0,a
1772097781.0411541,339,a
1772097781.052133,292,a
1772097781.063524,0,a
1772097781.0741298,314,a
1772097781.086661,322,a
1772097781.095893,0,a
1772097781.107527,335,a
1772097781.118012,387,a
1772097781.129007,19,a
1772097781.140002,350,a
1772097781.151019,397,a
1772097781.161998,39,a
1772097781.173014,318,a
1772097781.184009,373,a
1772097781.1950028,64,a
1772097781.206007,301,a
1772097781.2171361,355,a
1772097781.228012,116,a
1772097781.23906,242,a
1772097781.2501109,359,a
1772097781.261007,129,a
1772097781.272008,163,a
1772097781.3058538,301,a
1772097781.3059042,135,a
1772097781.308096,129,a
1772097781.316021,336,a
1772097781.328374,208,a
1772097781.3380291,32,a
1772097781.3490188,284,a
1772097781.3600278,210,a
1772097781.370889,7,a
1772097781.382041,237,a
1772097781.39301,239,a
1772097781.403924,0,a
1772097781.415016,195,a
1772097781.426105,302,a
1772097781.436928,54,a
1772097781.448046,126,a
1772097781.459008,250,a
1772097781.4699378,76,a
1772097781.481045,112,a
1772097781.4920452,304,a
1772097781.503045,148,a
1772097781.513888,66,a
1772097781.5250099,310,a
1772097781.536031,237,a
1772097781.546887,10,a
1772097781.558042,304,a
1772097781.5690172,249,a
1772097781.579894,18,a
1772097781.591012,334,a
1772097781.602019,300,a
1772097781.612778,0,a
1772097781.624039,340,a
1772097781.635016,359,a
1772097781.645767,0,a
1772097781.657045,351,a
1772097781.6682398,358,a
1772097781.679702,8,a
1772097781.690012,332,a
1772097781.701031,379,a
1772097781.711901,30,a
1772097781.72302,361,a
1772097781.734027,400,a
1772097781.744896,57,a
