timestamp,ch1,ch2,label
1777450684.003833,1839,0,S_0
1777450684.004265,2073,0,S_0
1777450684.005131,2219,0,S_0
1777450684.005499,2190,0,S_0
1777450684.007783,2009,0,S_0
1777450684.009516,1813,0,S_0
1777450684.012115,1881,0,S_0
1777450684.014953,2142,0,S_0
1777450684.0179431,2197,0,S_0
1777450684.024854,2143,0,S_0
1777450684.025984,1899,0,S_0
1777450684.02813,1782,0,S_0
1777450684.030915,1998,0,S_0
1777450684.033578,2182,0,S_0
1777450684.036145,2160,0,S_0
1777450684.038951,2056,0,S_0
1777450684.044109,1809,0,S_0
1777450684.0463512,1851,0,S_0
1777450684.048547,2104,0,S_0
1777450684.05138,2171,0,S_0
1777450684.054016,2098,0,S_0
1777450684.056927,1917,0,S_0
1777450684.059938,1809,0,S_0
1777450684.065163,1941,0,S_0
1777450684.066571,2136,0,S_0
1777450684.069545,2164,0,S_0
1777450684.0728269,2061,0,S_0
1777450684.0753841,1824,0,S_0
1777450684.0779362,1840,0,S_0
1777450684.080925,2073,0,S_0
1777450684.0849018,2199,0,S_0
1777450684.0884411,2117,0,S_0
1777450684.090636,1927,0,S_0
1777450684.0930529,1776,0,S_0
1777450684.096009,1912,0,S_0
1777450684.0989451,2133,0,S_0
1777450684.1045492,2174,0,S_0
1777450684.1052501,2061,0,S_0
1777450684.1086578,1813,0,S_0
1777450684.111443,1822,0,S_0
1777450684.1141,2034,0,S_0
1777450684.116936,2181,0,S_0
1777450684.119946,2132,0,S_0
1777450684.125556,1960,0,S_0
1777450684.126967,1775,0,S_0
1777450684.129344,1899,0,S_0
1777450684.133512,2116,0,S_0
1777450684.134948,2163,0,S_0
1777450684.137913,2090,0,S_0
1777450684.1409311,1849,0,S_0
1777450684.146005,1775,0,S_0
1777450684.147927,2025,0,S_0
1777450684.150014,2200,0,S_0
1777450684.154237,2150,0,S_0
1777450684.155931,1991,0,S_0
1777450684.158918,1791,0,S_0
1777450684.161914,1867,0,S_0
1777450684.16572,2103,0,S_0
1777450684.168778,2175,0,S_0
1777450684.1719942,2095,0,S_0
1777450684.173918,1854,0,S_0
1777450684.1769412,1781,0,S_0
1777450684.1799161,1987,0,S_0
1777450684.186552,2177,0,S_0
1777450684.18697,2137,0,S_0
1777450684.189743,2019,0,S_0
1777450684.192369,1810,0,S_0
1777450684.194944,1872,0,S_0
1777450684.1979158,2080,0,S_0
1777450684.200938,2173,0,S_0
1777450684.205813,2141,0,S_0
1777450684.208162,1937,0,S_0
1777450684.210023,1798,0,S_0
1777450684.213262,1969,0,S_0
1777450684.215961,2141,0,S_0
1777450684.218909,2198,0,S_0
1777450684.2219222,2055,0,S_0
1777450684.226722,1811,0,S_0
1777450684.228752,1862,0,S_0
1777450684.2329018,2089,0,S_0
1777450684.2353122,2188,0,S_0
1777450684.2369332,2138,0,S_0
1777450684.2399411,1935,0,S_0
1777450684.242904,1805,0,S_0
1777450684.246988,1951,0,S_0
1777450684.250064,2123,0,S_0
1777450684.25197,2177,0,S_0
1777450684.255262,2043,0,S_0
1777450684.2579432,1848,0,S_0
1777450684.260946,1810,0,S_0
1777450684.267116,2060,0,S_0
1777450684.267483,2197,0,S_0
1777450684.270865,2157,0,S_0
1777450684.273364,1964,0,S_0
1777450684.275947,1778,0,S_0
1777450684.278924,1888,0,S_0
1777450684.281943,2089,0,S_0
1777450684.2873259,2163,0,S_0
1777450684.287971,2073,0,S_0
1777450684.291065,1836,0,S_0
1777450684.294204,1765,0,S_0
1777450684.2969432,1993,0,S_0
1777450684.299905,2151,0,S_0
1777450684.3029609,2154,0,S_0
1777450684.3072178,1975,0,S_0
1777450684.309186,1771,0,S_0
1777450684.313372,1842,0,S_0
1777450684.315555,2063,0,S_0
1777450684.318076,2155,0,S_0
1777450684.320946,2075,0,S_0
1777450684.323915,1849,0,S_0
1777450684.3276951,1752,0,S_0
1777450684.3313549,1965,0,S_0
1777450684.3341079,2124,0,S_0
1777450684.33631,2137,0,S_0
1777450684.339128,1982,0,S_0
1777450684.3419368,1802,0,S_0
1777450684.347921,1825,0,S_0
1777450684.348269,2054,0,S_0
1777450684.351342,2164,0,S_0
1777450684.354676,2088,0,S_0
1777450684.357235,1906,0,S_0
1777450684.359947,1744,0,S_0
1777450684.362939,1938,0,S_0
1777450684.368294,2122,0,S_0
